run,dataset,loss,epochs,num_batches,num_trajectories,runtime,haversine_mean [m],euclidean_mean,hour_abs,hour_rel,day_abs,day_rel,category_abs,category_rel
1,fs,STD,250,2000,1027,173.9586574559944,780.3986226258645,1.42049154039317,993,0.044647273054269146,9,0.0004046580639359741,6,0.00026977204262398273
1,fs,NO BCE,250,2000,1027,151.28711247099272,464.9070541212617,0.8955030683130705,901,0.040510768400701405,1,4.496200710399712e-05,6,0.00026977204262398273
1,fs,BCE ONLY,250,2000,1027,168.0164134689985,27968.387202026046,47.58224371636436,21086,0.9480688817948834,19649,0.8834584775864395,19359,0.8704194955262803
2,fs,STD,250,2000,1027,153.7576001159905,865.5589854133266,1.5001888903953076,2198,0.09992271673410011,0,0.0,11,0.0005000681911169704
2,fs,NO BCE,250,2000,1027,146.4757948769984,678.4638915120797,1.129336820770688,1571,0.07141882984043278,0,0.0,1422,0.06464517888803019
2,fs,BCE ONLY,250,2000,1027,152.03163507999852,14595.691441309546,24.057223364992456,21196,0.9635859435377552,19407,0.882256671364277,19546,0.8885757148702096
3,fs,STD,250,2000,1027,168.9385117329948,688.1698270312174,1.1642572031030998,3627,0.16320928767493137,3,0.0001349952751653692,5,0.00022499212527561535
3,fs,NO BCE,250,2000,1027,148.22409950601286,1107.7300439113842,1.8732483486682086,1984,0.08927687530936418,0,0.0,123,0.005534806281780138
3,fs,BCE ONLY,250,2000,1027,158.3989132239949,9661.363578839137,17.84321600972532,21581,0.971111011114611,18501,0.832515861944832,19087,0.858884939027134
4,fs,STD,250,2000,1027,158.4067285009951,513.3938568656587,0.9848577851135396,954,0.042916910342345585,0,0.0,834,0.03751855684016375
4,fs,NO BCE,250,2000,1027,145.41085507300158,999.3603550033516,1.595055281374742,937,0.04215214359620316,1,4.498627918484862e-05,7,0.00031490395429394037
4,fs,BCE ONLY,250,2000,1027,153.44863709699712,12292.015346935996,21.855211472353552,21004,0.9448918079985604,19562,0.8800215934140088,21167,0.9522245715056907
5,fs,STD,250,2000,1027,150.57106853299774,965.7376462085725,1.6553038512983982,2306,0.1018506249723952,9,0.00039750894395123893,7,0.0003091736230731858
5,fs,NO BCE,250,2000,1027,138.94755468600488,693.9491060332184,1.3266448004283649,789,0.03484828408639194,0,0.0,7,0.0003091736230731858
5,fs,BCE ONLY,250,2000,1027,149.97165515199595,10348.835214636421,19.101596017610106,21683,0.9576873812994126,19529,0.8625502407137494,22074,0.974956936531072
