run,dataset,loss,epochs,num_batches,num_trajectories,runtime,haversine_mean [m],euclidean_mean
1,geolife_spatial,STD,11,2000,23168,518.7689550150099,152.78686636388855,3.0409111211691897
1,geolife_spatial,NO BCE,11,2000,23168,182.58478956698673,266.69215143044016,4.692937952583259
1,geolife_spatial,BCE ONLY,11,2000,23168,209.39647167400108,6515.612840982972,119.88833578043138
2,geolife_spatial,STD,11,2000,23168,209.23176530000637,213.66596532932357,3.778870613869227
2,geolife_spatial,NO BCE,11,2000,23168,185.47826664899185,349.9260116391056,6.0238974278822415
2,geolife_spatial,BCE ONLY,11,2000,23168,208.98739534600463,6877.890777853957,140.29027761735887
3,geolife_spatial,STD,11,2000,23168,211.05994567100424,270.2547109365437,4.966282538118479
3,geolife_spatial,NO BCE,11,2000,23168,185.5840944260126,137.18377829708274,2.8348714870627125
3,geolife_spatial,BCE ONLY,11,2000,23168,211.02984709700104,7355.035116832143,140.402767220741
4,geolife_spatial,STD,11,2000,23168,212.58163605800655,176.2742341750245,3.4066762356740248
4,geolife_spatial,NO BCE,11,2000,23168,199.91016585100442,479.27672339243975,6.93679628740006
4,geolife_spatial,BCE ONLY,11,2000,23168,212.73667116300203,4203.492324251516,90.44679066096744
5,geolife_spatial,STD,11,2000,23168,209.27610247999837,143.0905402176281,3.008968571192944
5,geolife_spatial,NO BCE,11,2000,23168,185.10911778100126,149.31677367012568,3.1749092991374566
5,geolife_spatial,BCE ONLY,11,2000,23168,210.3286627829948,7065.907754132821,140.3030840288849
